起始节点,目标节点,关系
第六章自相关,自相关,包含
第六章自相关,自相关的后果,包含
第六章自相关,自相关的检验,包含
第六章自相关,自相关的补救,包含
自相关,自相关的概念,包含
自相关的概念,定义：随机误差项之间的相关关系,包含
自相关,自相关的概念,包含
自相关的概念,假设：经典假设中无自相关,包含
自相关,自相关的概念,包含
自相关的概念,违背假设：自相关存在,包含
违背假设：自相关存在,"不满足cov(ui,uj)=E(uiuj)=0 i!=j",包含
自相关,自相关的概念,包含
自相关的概念,自相关的程度表示,包含
自相关的程度表示,自相关系数表示自相关程度,包含
自相关,自相关的公式与自相关系数计算,包含
自相关的公式与自相关系数计算,计算公式,包含
计算公式,公式：r = ∑(ut * ut-1) / ∑(ut^2),包含
公式：r = ∑(ut * ut-1) / ∑(ut^2),一阶自相关系数,包含
自相关,自相关的公式与自相关系数计算,包含
自相关的公式与自相关系数计算,取值范围,包含
取值范围,范围：-1 <= r <= 1,包含
自相关,自相关的公式与自相关系数计算,包含
自相关的公式与自相关系数计算,符号判断自相关类型,包含
符号判断自相关类型,"r > 0: 正相关, r < 0: 负相关, r = 0: 无自相关",包含
自相关,自相关的公式与自相关系数计算,包含
自相关的公式与自相关系数计算,正相关情况,包含
正相关情况,正相关: ut与ut-1方向一致,包含
自相关,自相关的公式与自相关系数计算,包含
自相关的公式与自相关系数计算,负相关情况,包含
负相关情况,负相关: ut与ut-1方向相反,包含
自相关,自相关产生的原因,包含
自相关产生的原因,经济系统的惯性,包含
经济系统的惯性,经济数据周期波动性,包含
自相关,自相关产生的原因,包含
自相关产生的原因,经济活动的滞后效应,包含
经济活动的滞后效应,收入对消费的滞后影响,包含
自相关,自相关产生的原因,包含
自相关产生的原因,数据处理导致的相关,包含
数据处理导致的相关,平滑处理导致相关,包含
自相关,自相关产生的原因,包含
自相关产生的原因,蛛网现象,包含
蛛网现象,供给对价格的滞后反应,包含
自相关,自相关产生的原因,包含
自相关产生的原因,模型设定偏误,包含
模型设定偏误,虚假自相关,包含
虚假自相关,省略解释变量引起,包含
自相关,自相关产生的原因,包含
自相关产生的原因,模型函数形式错误,包含
模型函数形式错误,线性模型错误引入自相关,包含
自相关,自相关的表现形式,包含
自相关的表现形式,自回归形式AR,包含
自回归形式AR,AR的定义,包含
自相关,自相关的表现形式,包含
自相关的表现形式,一阶自回归AR(1),包含
一阶自回归AR(1),公式: ut = r * ut-1 + vt,包含
自相关,自相关的表现形式,包含
自相关的表现形式,二阶自回归AR(2),包含
二阶自回归AR(2),公式: ut = r1 * ut-1 + r2 * ut-2 + vt,包含
自相关,自相关的表现形式,包含
自相关的表现形式,m阶自回归AR(m),包含
m阶自回归AR(m),公式: ut = r1 * ut-1 + ... + rm * ut-m + vt,包含
自相关,自相关的表现形式,包含
自相关的表现形式,移动平均MA形式,包含
移动平均MA形式,定义为n期误差项的组合,包含
自相关,自相关的表现形式,包含
自相关的表现形式,MA(n)表示,包含
MA(n)表示,MA形式的定义,包含
自相关,自相关的表现形式,包含
自相关的表现形式,混合自回归-移动平均ARMA形式,包含
混合自回归-移动平均ARMA形式,结合AR与MA,包含
自相关,自相关的表现形式,包含
自相关的表现形式,"ARMA(m, n)描述",包含
"ARMA(m, n)描述",用于复杂时间序列,包含
自相关,自相关的表现形式,包含
自相关的表现形式,应用于时间序列数据,包含
应用于时间序列数据,适用于时间序列分析,包含
自相关,自相关的表现形式,包含
自相关的表现形式,实际应用表现良好,包含
实际应用表现良好,常用于经济数据分析,包含
自相关的后果,一阶自回归形式的性质,包含
一阶自回归形式的性质,模型表达式,包含
模型表达式,模型公式：Yt = β1 + β2 Xt + ut,包含
模型公式：Yt = β1 + β2 Xt + ut,"假设：ut = ρ ut-1 + vt，ρ为一阶自相关系数，满足古典假定：E(vt)=0, Var(vt)=σ^2, Cov(vt, vt+s)=0 (s≠0)",包含
自相关的后果,随机误差项的表示,包含
随机误差项的表示,误差项表示形式,包含
误差项表示形式,公式：ut = Σ ρ^i vt-i,包含
自相关的后果,随机误差项的表示,包含
随机误差项的表示,误差项权重和衰减特征,包含
误差项权重和衰减特征,权数随时间呈几何衰减或交错振荡，当0<ρ<1时，权数几何衰减；-1<ρ<0时交错振荡,包含
权数随时间呈几何衰减或交错振荡，当0<ρ<1时，权数几何衰减；-1<ρ<0时交错振荡,在为一阶自回归形式的自相关时，随机误差项依然满足零均值、同方差的假定。,包含
自相关的后果,自相关对参数估计的影响,包含
自相关对参数估计的影响,参数估计无偏性,包含
参数估计无偏性,无偏性： E(β^)=β,包含
无偏性： E(β^)=β,不受自相关影响的无偏性,包含
自相关的后果,自相关对参数估计的影响,包含
自相关对参数估计的影响,自相关存在下的OLS估计方差变化,包含
自相关存在下的OLS估计方差变化,公式：Var(β) = σ^2 / Σ X^2,包含
公式：Var(β) = σ^2 / Σ X^2,可能会低估存在自相关时参数估计量的真实方差。,包含
自相关的后果,参数估计的方差,包含
参数估计的方差,方差低估问题,包含
方差低估问题,估计方差低估导致错误检验,包含
自相关的后果,自相关对模型检验的影响,包含
自相关对模型检验的影响,t统计量和参数显著性,包含
t统计量和参数显著性,显著性检验失效,包含
显著性检验失效,t统计量计算,包含
自相关的后果,自相关对模型检验的影响,包含
自相关对模型检验的影响,F统计量和R2检验,包含
F统计量和R2检验,t统计量过高估计显著性,包含
t统计量过高估计显著性,F统计量依赖的估计方差失真,包含
自相关的后果,自相关对模型检验的影响,包含
自相关对模型检验的影响,模型检验的失效,包含
模型检验的失效,回归显著性检验失去意义,包含
回归显著性检验失去意义,R^2受影响,包含
自相关的后果,自相关对模型预测的影响,包含
自相关对模型预测的影响,预测精度的影响,包含
预测精度的影响,预测误差受方差影响,包含
预测误差受方差影响,预测置信区间扩大,包含
自相关的后果,自相关对模型预测的影响,包含
自相关对模型预测的影响,不确定性增加,包含
不确定性增加,抽样误差增大,包含
抽样误差增大,样本方差估计不可靠,包含
自相关的后果,自相关对模型预测的影响,包含
自相关对模型预测的影响,信赖区间不可靠,包含
信赖区间不可靠,预测区间不可靠,包含
预测区间不可靠,预测精度下降,包含
自相关的检验,图示检验法,包含
图示检验法,残差散点图,包含
残差散点图,绘制t-1与t期的残差图,包含
自相关的检验,图示检验法,包含
图示检验法,残差时间序列图,包含
残差时间序列图,绘制时间序列图，判断变化规律,包含
自相关的检验,图示检验法,包含
图示检验法,判断相关性,包含
判断相关性,判断是否有正自相关或负自相关,包含
自相关的检验,DW检验法,包含
DW检验法,DW检验的假设条件,包含
DW检验的假设条件,解释变量非随机；误差项一阶自回归,包含
解释变量非随机；误差项一阶自回归,适用于一阶自回归的DW检验,包含
自相关的检验,DW检验法,包含
DW检验法,DW统计量定义,包含
DW统计量定义,公式：DW = Σ(e_t - e_{t-1})2 / Σ e_t2,包含
公式：DW = Σ(e_t - e_{t-1})2 / Σ e_t2,误差项满足经典假定的前提,包含
自相关的检验,DW检验法,包含
DW检验法,DW决策规则,包含
DW决策规则,决策范围：0 ≤ DW ≤ 4,包含
自相关的检验,DW检验法,包含
DW检验法,DW值计算,包含
DW值计算,DW值计算的结果解释,包含
DW值计算的结果解释,根据计算得到的DW值判断,包含
自相关的检验,DW检验法,包含
DW检验法,正相关、无自相关、负相关,包含
正相关、无自相关、负相关,DW值靠近0时正相关，靠近4时负相关,包含
自相关的检验,DW检验法,包含
DW检验法,缺点,包含
缺点,不确定区域,包含
不确定区域,在LD和UD之间无法确定。DW统计量的上、下界表要求n≥15，这是因为样本如果过小，利用残差就很难对自相关的存在性做出比较正确的诊断,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,BG检验的理论基础和假设,包含
BG检验的理论基础和假设,BG检验假设无自相关，残差与解释变量不相关,包含
BG检验假设无自相关，残差与解释变量不相关,BG检验适用于高阶自相关,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,辅助回归的步骤,包含
辅助回归的步骤,OLS估计模型残差,包含
OLS估计模型残差,解释变量和滞后残差的回归,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,LM统计量构建,包含
LM统计量构建,构建 LM = T * R2,包含
构建 LM = T * R2,通过R2计算LM统计量,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,BG检验的步骤,包含
BG检验的步骤,步骤1: 计算残差,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,滞后残差回归,包含
滞后残差回归,步骤2: 滞后残差作为新解释变量,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,辅助回归可决系数计算,包含
辅助回归可决系数计算,辅助回归可决系数 R2 的计算,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,LM统计量分布,包含
LM统计量分布,LM ~ 卡方分布,包含
LM ~ 卡方分布,大样本条件下满足卡方分布,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,显著性水平判断,包含
显著性水平判断,在显著水平下判断是否拒绝原假设,包含
在显著水平下判断是否拒绝原假设,LM统计量与卡方分布对比,包含
自相关的检验,Breusch-Godfrey（BG）检验,包含
Breusch-Godfrey（BG）检验,自由度和分布条件,包含
自由度和分布条件,自由度为滞后阶数的卡方分布,包含
自相关的补救,广义差分法,包含
广义差分法,广义差分法的基本步骤,包含
广义差分法的基本步骤,模型公式：ut = ρut-1 + vt,包含
模型公式：ut = ρut-1 + vt,通过广义差分方法，利用滞后项修正模型中的自相关,包含
自相关的补救,广义差分法,包含
广义差分法,广义差分法的限制与适用,包含
广义差分法的限制与适用,如果误差项的自相关形式是AR（p），则需要使用p阶广义差分，在进行广义差分时，样本容量由n减少为n-1。样本容量较大，减少一个观测值对估计结果影响不大。如果样本容量较小，则会对估计精度产生较大影响。,包含
如果误差项的自相关形式是AR（p），则需要使用p阶广义差分，在进行广义差分时，样本容量由n减少为n-1。样本容量较大，减少一个观测值对估计结果影响不大。如果样本容量较小，则会对估计精度产生较大影响。,"可采用普莱斯D温斯滕（Prais-Winsten）变换，将第一个观测值分别变换为Y1*(1-ρ^2)^(1/2),X1*(1-ρ^2)^(1/2)，补充到差分序列中，再使用普通最小二乘法估计参数。",包含
自相关的补救,自相关系数的确定,包含
自相关系数的确定,DW统计量与自相关系数的关系,包含
DW统计量与自相关系数的关系,DW值与r的关系公式：ρ(hat) = 1 - (DW / 2),包含
DW值与r的关系公式：ρ(hat) = 1 - (DW / 2),科克伦D奥克特法通过连续迭代逐步逼近最优r值,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et,包含
第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et,第二步：利用残差作如下的回归et=ρ(hat)e(t-1)+vt,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第一步，使用OLS法估计模型Yt=β1+β2Xt+ut，并计算残差et,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第二步：利用残差作如下的回归et=ρ(hat)e(t-1)+vt,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第三步:用OLS法估计ρ(hat)，对模型式进行广义差分,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第四步，将前一步估计的结果代入原回归方程式求得新的残差,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,第五步，利用残差et做回归,包含
自相关的补救,科克伦D奥克特迭代法,包含
科克伦D奥克特迭代法,科克伦D奥克特迭代法的步骤,包含
科克伦D奥克特迭代法的步骤,结果：当不能确认估计结果是否是的最佳估计值时，继续迭代估计的第三轮估计值。直到估计的第k轮与第k-1轮相差很小时，收敛并满足精度要求，或回归所得DW统计量说明已不存在自相关时为止。,包含
自相关的补救,德宾两步法,包含
德宾两步法,德宾两步法的基本步骤,包含
德宾两步法的基本步骤,第一步估计ρ，第二步利用ρ进行广义差分修正，然后使用OLS法对广义差分方程估计参数，求得最佳线性无偏估计量。,包含
第六章自相关问题图谱,已知公司t期预算与公司t期产量有如下关系Yt=α+β1Xt+ut，其中Y为预算，X为当期产量，但同时已知公司如果上期预算有结余，当期的预算会适当减少，，若使用原模型可能存在什么问题？,包含
第六章自相关问题图谱,一阶自相关系数的取值范围为？,包含
第六章自相关问题图谱,哪种情况属于空间自相关？,包含
第六章自相关问题图谱,关于自相关对参数估计的影响中错误的说法是？,包含
第六章自相关问题图谱,检验随机扰动项是否存在自相关的统计量是？,包含
第六章自相关问题图谱,利用DW检验法时，需要明确的指标有哪些？,包含
第六章自相关问题图谱,下列哪种自相关不应该首先考虑使用广义差分法来消除,包含
第六章自相关问题图谱,修正虚假自相关的方法有哪些？,包含
第六章自相关问题图谱,对广义差分法纠正自相关的说法中错误的是,包含
第六章自相关问题图谱,引起真实自相关的原因有哪些？,包含
第六章自相关问题图谱,若模型存在自相关，OLS估计仍具备哪些性质？,包含
第六章自相关问题图谱,检验序列自相关的方法有哪些？,包含
第六章自相关问题图谱,DW检验的局限性是什么？,包含
第六章自相关问题图谱,DW值越小表明模型随机扰动项的自相关度越小。,包含
第六章自相关问题图谱,LM检验与DW检验结果不一致是可能的。,包含
第六章自相关问题图谱,虚假自相关与真实自相关的区别及其改善方法。,包含
第六章自相关问题图谱,什么叫做虚假自相关？,包含
第六章自相关问题图谱,下面哪一种情况属于由经济系统的惯性而产生的自相关？,包含
第六章自相关问题图谱,当存在自相关时，普通最小二乘估计量的方差与其他估计方式比较？,包含
第六章自相关问题图谱,对于随机扰动项ut，其二阶线性自相关的形式是指（   ）（vt为具有零均值，常数方差且不存在序列相关的随机变量）,包含
第六章自相关问题图谱,DW检验的零假设是（ρ为随机扰动项的一阶相关系数）,包含
第六章自相关问题图谱,以下哪种方法不是用来检验自相关问题？,包含
第六章自相关问题图谱,BG（LM）检验适合检验高阶自相关，并结合什么原则判断？,包含
第六章自相关问题图谱,德宾两步法第一步得到的估计值性质是？,包含
第六章自相关问题图谱,广义差分变换后模型的随机扰动项应是？,包含
第六章自相关问题图谱,存在自相关的原模型估计得DW统计量为0. 4302，广义差分变换后的估计结果中常数项系数为，广义差分解释变量系数估计值为5. 3728，则原模型估计结果为,包含
第六章自相关问题图谱,引起真实自相关的原因有？,包含
第六章自相关问题图谱,若查表得到DW上下限分别为和，则DW检验的不确定区间为,包含
第六章自相关问题图谱,对于BG（LM）检验，以下说法错误的是？,包含
第六章自相关问题图谱,可以作残差对某个解释变量的散点图来判断是否存在自相关。,包含
第六章自相关问题图谱,LM检验与DW检验结果不一致是可能的。,包含
第六章自相关问题图谱,简述科克伦-奥克特迭代法的基本思路和具体做法,包含
第六章自相关问题图谱,对比BG检验和DW检验的优劣之处。,包含
已知公司t期预算与公司t期产量有如下关系Yt=α+β1Xt+ut，其中Y为预算，X为当期产量，但同时已知公司如果上期预算有结余，当期的预算会适当减少，，若使用原模型可能存在什么问题？,自相关,解答为
一阶自相关系数的取值范围为？,"""-1<=ρ<=1""",解答为
哪种情况属于空间自相关？,一个家庭或一个地区的消费行为可能会影响另外一些家庭或另外一些地区,解答为
关于自相关对参数估计的影响中错误的说法是？,使用εet^2/(n-k)会高估的真实方差,解答为
检验随机扰动项是否存在自相关的统计量是？,h=(1-d/2)(n/(1-nvar(α2hat))^(1/2),解答为
利用DW检验法时，需要明确的指标有哪些？,样本容量n和解释变量的数目,解答为
下列哪种自相关不应该首先考虑使用广义差分法来消除,设定偏倚,解答为
修正虚假自相关的方法有哪些？,引入导致自相关的省略解释变量,解答为
对广义差分法纠正自相关的说法中错误的是,广义差分之后损失的初始值都设为0,解答为
引起真实自相关的原因有哪些？,"经济变量具有惯性作用,经济行为的滞后性 设定偏误 数据处理造成的相关          ",解答为
若模型存在自相关，OLS估计仍具备哪些性质？,线性性 无偏性 一致性 正态性,解答为
检验序列自相关的方法有哪些？,BG（LM）检验法 图形法 DW检验法,解答为
DW检验的局限性是什么？,存在不确定区域 要求有足够样本量 模型中不能没有截距项解释变量中不能有滞后被解释变量,解答为
DW值越小表明模型随机扰动项的自相关度越小。,错误。,解答为
LM检验与DW检验结果不一致是可能的。,错误。,解答为
虚假自相关与真实自相关的区别及其改善方法。,解答：虚假自相关指的是模型设定出现偏倚不正确，不需要通过自相关修正方法，通过改变模型设定本身即可达到消除误差的目的，此时模型具有的就是虚假自相关；,解答为
什么叫做虚假自相关？,由于模型设定失误而造成的自相关现象,解答为
下面哪一种情况属于由经济系统的惯性而产生的自相关？,在经济高涨时期，较高的经济增长率会持续一段时间，而在经济衰退期，较高的失业率也会持续一段时间 ,解答为
当存在自相关时，普通最小二乘估计量的方差与其他估计方式比较？,不是最小的,解答为
对于随机扰动项ut，其二阶线性自相关的形式是指（   ）（vt为具有零均值，常数方差且不存在序列相关的随机变量）,ut=ρ1ut-1+ρ2ut-2+vt,解答为
DW检验的零假设是（ρ为随机扰动项的一阶相关系数）,ρ=0,解答为
以下哪种方法不是用来检验自相关问题？,White检验,解答为
BG（LM）检验适合检验高阶自相关，并结合什么原则判断？,AIC和SIC最小的阶数 ,解答为
德宾两步法第一步得到的估计值性质是？,有偏，一致估计,解答为
广义差分变换后模型的随机扰动项应是？,零均值且无自相关    ,解答为
存在自相关的原模型估计得DW统计量为0. 4302，广义差分变换后的估计结果中常数项系数为，广义差分解释变量系数估计值为5. 3728，则原模型估计结果为,Yt=-562.9074+5.3728xt+ut,解答为
引起真实自相关的原因有？,将数据进行修匀平滑 经济行为存在滞后性 蛛网现象,解答为
若查表得到DW上下限分别为和，则DW检验的不确定区间为,4-du<=DW<=4-d1 dl<=DW<=du,解答为
对于BG（LM）检验，以下说法错误的是？,BG（LM）检验的滞后长度可以人为指定 模型中存在滞后被解释变量时无法使用BG（LM）检验 模型中不包括截距项时无法使用BG（LM）检验,解答为
可以作残差对某个解释变量的散点图来判断是否存在自相关。,错误。应该是残差对残差滞后值的散点图。,解答为
LM检验与DW检验结果不一致是可能的。,正确,解答为
简述科克伦-奥克特迭代法的基本思路和具体做法,其基本思想还是利用剩余去获得未知的ρ的信息，但是要通过逐次迭代去寻求更为满意的ρ的估计值，通常经过迭代很快能得到有较高精度的，用作广义差分对自相关的修正效果也较好。具体步骤：1.使用OLS法估计模型 2.利用残差作回归 3.用OLS法估计ρ1（hat），对模型进行广义差分 4.前一步估计的结果代入原回归方程式，可以求得新的残差et 5.利用残差作回归,解答为
对比BG检验和DW检验的优劣之处。,解答：DW检验存在一定的局限性：有五个前提条件存在两个不确定性区域，而且样本容量不宜过小。相比之下，BG检验很好地克服了一些DW检验的缺陷：即使回归中没有截距项或者解释变量中包含有滞后被解释变量时，依旧不影响BG检验的使用。BG检验也不再有无法判断是否存在自相关的区域，而且将自相关的形式推广到了更高阶的自回归形式。但不能因此认为，BG检验就优于DW检验。BG检验也有其缺陷：滞后长度p不易先验确定，而DW检验使用起来反而还更为方便。而且BG检验只能判断是否有自相关，无法像DW检验那样判断是正自相关还是负自相关。BG检验是一种大样本检验，与DW检验一样对样本容量有要求。所以说，两种检验各有优缺点，并无哪种检验优于另外一种。,解答为
自相关,"多重共线性, 异方差, 自相关, 虚拟变量陷阱",包含
"""-1<=ρ<=1""",自相关系数取值范围,包含
一个家庭或一个地区的消费行为可能会影响另外一些家庭或另外一些地区,空间自相关的概念和影响,包含
使用εet^2/(n-k)会高估的真实方差,OLS估计偏差和方差,包含
h=(1-d/2)(n/(1-nvar(α2hat))^(1/2),"杜宾-沃森统计量, LM检验",包含
样本容量n和解释变量的数目,"样本容量, 解释变量的数量",包含
设定偏倚,广义差分法的适用性,包含
引入导致自相关的省略解释变量,"德宾两步法, 残差回归",包含
广义差分之后损失的初始值都设为0,广义差分法纠正自相关,包含
"经济变量具有惯性作用,经济行为的滞后性 设定偏误 数据处理造成的相关          ","序列自相关, 经济行为的滞后性",包含
线性性 无偏性 一致性 正态性,"OLS估计的线性性, 无偏性, 一致性",包含
BG（LM）检验法 图形法 DW检验法,"BG（LM）检验, DW检验, 图形法",包含
存在不确定区域 要求有足够样本量 模型中不能没有截距项解释变量中不能有滞后被解释变量,"DW检验的不确定区域, 样本量要求",包含
错误。,杜宾-沃森统计量解释,包含
错误。,LM检验与DW检验的差异性,包含
解答：虚假自相关指的是模型设定出现偏倚不正确，不需要通过自相关修正方法，通过改变模型设定本身即可达到消除误差的目的，此时模型具有的就是虚假自相关；,自相关的类型与修正,包含
由于模型设定失误而造成的自相关现象,"模型设定偏误, 数据关系不合理",包含
在经济高涨时期，较高的经济增长率会持续一段时间，而在经济衰退期，较高的失业率也会持续一段时间 ,"经济行为滞后性, 系统惯性",包含
不是最小的,"OLS方差性质, 自相关影响",包含
ut=ρ1ut-1+ρ2ut-2+vt,ut的自相关形式,包含
ρ=0,DW检验,包含
White检验,自相关检验方法,包含
AIC和SIC最小的阶数 ,"BG检验, AIC/SIC准则",包含
有偏，一致估计,"德宾两步法, 估计值性质",包含
零均值且无自相关    ,广义差分法的假设,包含
Yt=-562.9074+5.3728xt+ut,广义差分的应用,包含
将数据进行修匀平滑 经济行为存在滞后性 蛛网现象,"自相关成因, 模型设定",包含
4-du<=DW<=4-d1 dl<=DW<=du,DW检验的区间,包含
BG（LM）检验的滞后长度可以人为指定 模型中存在滞后被解释变量时无法使用BG（LM）检验 模型中不包括截距项时无法使用BG（LM）检验,"BG检验的适用条件, 局限性",包含
错误。应该是残差对残差滞后值的散点图。,"散点图法, 自相关判断",包含
正确,LM检验与DW检验的差异,包含
其基本思想还是利用剩余去获得未知的ρ的信息，但是要通过逐次迭代去寻求更为满意的ρ的估计值，通常经过迭代很快能得到有较高精度的，用作广义差分对自相关的修正效果也较好。具体步骤：1.使用OLS法估计模型 2.利用残差作回归 3.用OLS法估计ρ1（hat），对模型进行广义差分 4.前一步估计的结果代入原回归方程式，可以求得新的残差et 5.利用残差作回归,科克伦-奥克特迭代法,包含
解答：DW检验存在一定的局限性：有五个前提条件存在两个不确定性区域，而且样本容量不宜过小。相比之下，BG检验很好地克服了一些DW检验的缺陷：即使回归中没有截距项或者解释变量中包含有滞后被解释变量时，依旧不影响BG检验的使用。BG检验也不再有无法判断是否存在自相关的区域，而且将自相关的形式推广到了更高阶的自回归形式。但不能因此认为，BG检验就优于DW检验。BG检验也有其缺陷：滞后长度p不易先验确定，而DW检验使用起来反而还更为方便。而且BG检验只能判断是否有自相关，无法像DW检验那样判断是正自相关还是负自相关。BG检验是一种大样本检验，与DW检验一样对样本容量有要求。所以说，两种检验各有优缺点，并无哪种检验优于另外一种。,DW和BG的对比,包含
"多重共线性, 异方差, 自相关, 虚拟变量陷阱",逻辑思维能力,考察
自相关系数取值范围,数学推演能力,考察
空间自相关的概念和影响,逻辑思维能力,考察
OLS估计偏差和方差,数学推演能力,考察
"杜宾-沃森统计量, LM检验",实证分析能力,考察
"样本容量, 解释变量的数量",数学推演能力,考察
广义差分法的适用性,逻辑推演能力,考察
"德宾两步法, 残差回归",数据处理能力,考察
广义差分法纠正自相关,数学推演能力,考察
"序列自相关, 经济行为的滞后性",实证分析能力,考察
"OLS估计的线性性, 无偏性, 一致性",逻辑思维能力,考察
"BG（LM）检验, DW检验, 图形法",软件操作能力,考察
"DW检验的不确定区域, 样本量要求",数学推演能力,考察
杜宾-沃森统计量解释,实证分析能力,考察
LM检验与DW检验的差异性,数据处理能力,考察
自相关的类型与修正,逻辑思维能力,考察
"模型设定偏误, 数据关系不合理",逻辑思维能力,考察
"经济行为滞后性, 系统惯性",实证分析能力,考察
"OLS方差性质, 自相关影响",数学推演能力,考察
ut的自相关形式,数学推演能力,考察
DW检验,软件操作能力,考察
自相关检验方法,逻辑思维能力,考察
"BG检验, AIC/SIC准则",软件操作能力,考察
"德宾两步法, 估计值性质",数据处理能力,考察
广义差分法的假设,逻辑思维能力,考察
广义差分的应用,实证分析能力,考察
"自相关成因, 模型设定",数学推演能力,考察
DW检验的区间,数据处理能力,考察
"BG检验的适用条件, 局限性",实证分析能力,考察
"散点图法, 自相关判断",软件操作能力,考察
LM检验与DW检验的差异,实证分析能力,考察
科克伦-奥克特迭代法,实证分析能力,考察
DW和BG的对比,软件操作能力,考察
